infl_id,infl_pos,infl_person,infl_plurality,infl_tense,infl_type,infl_variant,infl_stem_id,infl_voice,infl_mood,infl_ending
487,V,1,S,PRES,1,1,1,ACTIVE,IND,o
488,V,2,S,PRES,1,1,2,ACTIVE,IND,as
489,V,3,S,PRES,1,1,2,ACTIVE,IND,at
490,V,1,P,PRES,1,1,2,ACTIVE,IND,amus
491,V,2,P,PRES,1,1,2,ACTIVE,IND,atis
492,V,3,P,PRES,1,1,1,ACTIVE,IND,ant
493,V,1,S,IMPF,1,1,1,ACTIVE,IND,abam
494,V,2,S,IMPF,1,1,1,ACTIVE,IND,abas
495,V,3,S,IMPF,1,1,1,ACTIVE,IND,abat
496,V,1,P,IMPF,1,1,1,ACTIVE,IND,abamus
497,V,2,P,IMPF,1,1,1,ACTIVE,IND,abatis
498,V,3,P,IMPF,1,1,1,ACTIVE,IND,abant
499,V,1,S,FUT,1,1,1,ACTIVE,IND,abo
500,V,2,S,FUT,1,1,1,ACTIVE,IND,abis
501,V,3,S,FUT,1,1,1,ACTIVE,IND,abit
502,V,1,P,FUT,1,1,1,ACTIVE,IND,abimus
503,V,2,P,FUT,1,1,1,ACTIVE,IND,abitis
504,V,3,P,FUT,1,1,1,ACTIVE,IND,abunt
524,V,1,S,PRES,1,1,1,PASSIVE,IND,or
525,V,2,S,PRES,1,1,2,PASSIVE,IND,aris
526,V,2,S,PRES,1,1,2,PASSIVE,IND,are
527,V,3,S,PRES,1,1,2,PASSIVE,IND,atur
528,V,1,P,PRES,1,1,2,PASSIVE,IND,amur
529,V,2,P,PRES,1,1,2,PASSIVE,IND,amini
530,V,3,P,PRES,1,1,1,PASSIVE,IND,antur
531,V,1,S,IMPF,1,1,1,PASSIVE,IND,abar
532,V,2,S,IMPF,1,1,1,PASSIVE,IND,abaris
533,V,2,S,IMPF,1,1,1,PASSIVE,IND,abare
534,V,3,S,IMPF,1,1,1,PASSIVE,IND,abatur
535,V,1,P,IMPF,1,1,1,PASSIVE,IND,abamur
536,V,2,P,IMPF,1,1,1,PASSIVE,IND,abamini
537,V,3,P,IMPF,1,1,1,PASSIVE,IND,abantur
538,V,1,S,FUT,1,1,1,PASSIVE,IND,abor
539,V,2,S,FUT,1,1,1,PASSIVE,IND,aberis
540,V,2,S,FUT,1,1,1,PASSIVE,IND,abere
541,V,3,S,FUT,1,1,1,PASSIVE,IND,abitur
542,V,1,P,FUT,1,1,1,PASSIVE,IND,abimur
543,V,2,P,FUT,1,1,1,PASSIVE,IND,abimini
544,V,3,P,FUT,1,1,1,PASSIVE,IND,abuntur
545,V,1,S,PRES,1,1,1,ACTIVE,SUB,em
546,V,2,S,PRES,1,1,1,ACTIVE,SUB,es
547,V,3,S,PRES,1,1,1,ACTIVE,SUB,et
548,V,1,P,PRES,1,1,1,ACTIVE,SUB,emus
549,V,2,P,PRES,1,1,1,ACTIVE,SUB,etis
550,V,3,P,PRES,1,1,1,ACTIVE,SUB,ent
551,V,1,S,IMPF,1,1,2,ACTIVE,SUB,arem
552,V,2,S,IMPF,1,1,2,ACTIVE,SUB,ares
553,V,3,S,IMPF,1,1,2,ACTIVE,SUB,aret
554,V,1,P,IMPF,1,1,2,ACTIVE,SUB,aremus
555,V,2,P,IMPF,1,1,2,ACTIVE,SUB,aretis
556,V,3,P,IMPF,1,1,2,ACTIVE,SUB,arent
569,V,1,S,PRES,1,1,1,PASSIVE,SUB,er
570,V,2,S,PRES,1,1,1,PASSIVE,SUB,eris
571,V,2,S,PRES,1,1,1,PASSIVE,SUB,ere
572,V,3,S,PRES,1,1,1,PASSIVE,SUB,etur
573,V,1,P,PRES,1,1,1,PASSIVE,SUB,emur
574,V,2,P,PRES,1,1,1,PASSIVE,SUB,emini
575,V,3,P,PRES,1,1,1,PASSIVE,SUB,entur
576,V,1,S,IMPF,1,1,2,PASSIVE,SUB,arer
577,V,2,S,IMPF,1,1,2,PASSIVE,SUB,areris
578,V,2,S,IMPF,1,1,2,PASSIVE,SUB,arere
579,V,3,S,IMPF,1,1,2,PASSIVE,SUB,aretur
580,V,1,P,IMPF,1,1,2,PASSIVE,SUB,aremur
581,V,2,P,IMPF,1,1,2,PASSIVE,SUB,aremini
582,V,3,P,IMPF,1,1,2,PASSIVE,SUB,arentur
583,V,2,S,PRES,1,1,2,ACTIVE,IMP,a
584,V,2,P,PRES,1,1,2,ACTIVE,IMP,ate
585,V,2,S,FUT,1,1,2,ACTIVE,IMP,ato
586,V,3,S,FUT,1,1,2,ACTIVE,IMP,ato
587,V,2,P,FUT,1,1,2,ACTIVE,IMP,atote
588,V,3,P,FUT,1,1,2,ACTIVE,IMP,anto
589,V,2,S,PRES,1,1,2,PASSIVE,IMP,are
590,V,2,P,PRES,1,1,2,PASSIVE,IMP,amini
591,V,2,S,FUT,1,1,2,PASSIVE,IMP,ator
592,V,3,S,FUT,1,1,2,PASSIVE,IMP,ator
593,V,3,P,FUT,1,1,2,PASSIVE,IMP,antor
594,V,0,X,PRES,1,1,2,ACTIVE,INF,are
595,V,0,X,PERF,1,1,3,ACTIVE,INF,isse
596,V,0,X,PRES,1,1,2,PASSIVE,INF,ari
597,V,0,X,PRES,1,1,2,PASSIVE,INF,arier
598,V,1,S,PRES,2,1,1,ACTIVE,IND,eo
599,V,2,S,PRES,2,1,2,ACTIVE,IND,es
600,V,3,S,PRES,2,1,2,ACTIVE,IND,et
601,V,1,P,PRES,2,1,2,ACTIVE,IND,emus
602,V,2,P,PRES,2,1,2,ACTIVE,IND,etis
603,V,3,P,PRES,2,1,1,ACTIVE,IND,ent
604,V,1,S,IMPF,2,1,1,ACTIVE,IND,ebam
605,V,2,S,IMPF,2,1,1,ACTIVE,IND,ebas
606,V,3,S,IMPF,2,1,1,ACTIVE,IND,ebat
607,V,1,P,IMPF,2,1,1,ACTIVE,IND,ebamus
